latitude,longitude
58.987040700,5.703405700
58.986798200,5.703808700
58.986633500,5.704075100
58.986475700,5.704334300
58.986244600,5.704707300
58.986087000,5.704908500
58.986007900,5.704993500
58.985840900,5.705165300
58.985691400,5.705406600
58.985558300,5.705880500
58.985460200,5.706324700
58.985405300,5.706431900
58.985273500,5.706607000
58.985058700,5.706842300
58.984856100,5.707052600
58.984745900,5.707174300
58.984648500,5.707271200
58.984546700,5.707384700
58.984348800,5.707597900
58.984280000,5.707681500
58.984046200,5.707938800
58.983883100,5.708111800
58.983718400,5.708274800
58.983535900,5.708386300
58.983344200,5.708464600
58.983143800,5.708538600
58.982941100,5.708618600
58.982749900,5.708683600
58.982562600,5.708721100
58.982291400,5.708779900
58.982059700,5.708903000
58.981934500,5.709084400
58.981835500,5.709329600
58.981736100,5.709597600
58.981621100,5.709878100
58.981445800,5.710308600
58.981348900,5.710576200
58.981272700,5.710833100
58.981207900,5.711070800
58.981137400,5.711322700
58.981053500,5.711613900
58.980969300,5.711917600
58.980879800,5.712222600
58.980792900,5.712515000
58.980669100,5.712959200
58.980546800,5.713396900
58.980469500,5.713661400
58.980372000,5.713880100
58.980270600,5.714057000
58.980162600,5.714251200
58.979988600,5.714538700
58.979886300,5.714714600
58.979807000,5.714863500
58.979764000,5.714954000
58.979754900,5.714962500
58.979759400,5.714939800
58.979763600,5.714926100
58.979767200,5.714921800
58.979772200,5.714915000
58.979775900,5.714912900
58.979776100,5.714912500
58.979701400,5.715078200
58.979614900,5.715236900
58.979497000,5.715415300
58.979360500,5.715571100
58.979246200,5.715710900
58.979036800,5.715852700
58.978854700,5.715908800
58.978664600,5.715943200
58.978471900,5.715963800
58.978197000,5.716014600
58.978118000,5.716017800
58.977942200,5.716054900
58.977789600,5.716058900
58.977607700,5.716087300
58.977460800,5.716211000
58.977387900,5.716320600
58.977293300,5.716462900
58.977180600,5.716634800
58.977056300,5.716814200
58.976880000,5.717064300
58.976775900,5.717208200
58.976660200,5.717390300
58.976530800,5.717575000
58.976375300,5.717782200
58.976128100,5.718116900
58.975878500,5.718468100
58.975803900,5.718583500
58.975671300,5.718798700
58.975620700,5.718876200
58.975497500,5.719061000
58.975412100,5.719196600
58.975282600,5.719382100
58.975171900,5.719535600
58.975073300,5.719654100
58.974973300,5.719808600
58.974905900,5.719871900
58.974866800,5.719910500
58.974715500,5.719984900
58.974653800,5.720049300
58.974650500,5.720040900
58.974676000,5.720058700
58.974685900,5.720090300
58.974692200,5.720110800
58.974703100,5.720129600
58.974705300,5.720130200
58.974706500,5.720130000
58.974707000,5.720129900
58.974662400,5.720148600
58.974541800,5.720285800
58.974421200,5.720355700
58.974321100,5.720506600
58.974223800,5.720641800
58.974107300,5.720788300
58.973960100,5.721055000
58.973927000,5.721154400
58.973886100,5.721338500
58.973881000,5.721359400
58.973875200,5.721394600
58.973848600,5.721470500
58.973781700,5.721577300
58.973675800,5.721660300
58.973540700,5.721729400
58.973339200,5.721868300
58.973189200,5.721947700
58.972969900,5.722089600
58.972902100,5.722152100
58.972657000,5.722315300
58.972487300,5.722422900
58.972343400,5.722493300
58.972233800,5.722526400
58.972151600,5.722502000
58.972037200,5.722390800
58.971952300,5.722389800
58.971883900,5.722530000
58.971839200,5.722719500
58.971810700,5.722818900
58.971765400,5.723001400
58.971730600,5.723148100
58.971732000,5.723149900
58.971737100,5.723150700
58.971739300,5.723147800
58.971738000,5.723149600
58.971737000,5.723149000
58.971736900,5.723149300
58.971731600,5.723181100
58.971712100,5.723293000
58.971632600,5.723495300
58.971578800,5.723601800
58.971519100,5.723714300
58.971415900,5.723832200
58.971361300,5.723901000
58.971202700,5.724094100
58.971091900,5.724230700
58.970986900,5.724370500
58.970879600,5.724513300
58.970720400,5.724710500
58.970551500,5.724922400
58.970429200,5.725066500
58.970315500,5.725209200
58.970207500,5.725340400
58.970102800,5.725470900
58.970000800,5.725609500
58.969830500,5.725797900
58.969724100,5.725962000
58.969597200,5.726089800
58.969478400,5.726247600
58.969357000,5.726399600
58.969237000,5.726540700
58.969122200,5.726702400
58.969006400,5.726855300
58.968837500,5.727084200
58.968635500,5.727217700
58.968562300,5.727266400
58.968361700,5.727387300
58.968234700,5.727466400
58.968129200,5.727548800
58.968018700,5.727645500
58.967852800,5.727821200
58.967749400,5.727889300
58.967667800,5.727926200
58.967651300,5.728012500
58.967681500,5.728146400
58.967742500,5.728477100
58.967772300,5.728596100
58.967825700,5.729010700
58.967928900,5.729258100
58.968099700,5.729632500
58.968238900,5.729845100
58.968373800,5.730001100
58.968604000,5.730007100
58.968739300,5.729980900
58.968858200,5.729987700
58.968972900,5.730090100
58.969024900,5.730241300
58.969070300,5.730414300
58.969126600,5.730572500
58.969149400,5.730707500
58.969110600,5.730838500
58.969067400,5.730876900
58.968933000,5.730887800
58.968822400,5.730873000
58.968714700,5.730878200
58.968624000,5.730893400
58.968544900,5.730902500
58.968538600,5.730911500
58.968531900,5.730940200
58.968528300,5.730952400
58.968527800,5.730968100
58.968518200,5.730974700
58.968517500,5.730973800
58.968490000,5.730976100
58.968410500,5.730995900
58.968301700,5.731029900
58.968168600,5.731077400
58.968037100,5.731097100
58.967905400,5.731114800
58.967783600,5.731131000
58.967691400,5.731128600
58.967617300,5.731119600
58.967557500,5.731151900
58.967482600,5.731384800
58.967425500,5.731512000
58.967340000,5.731652900
58.967249000,5.731798400
58.967169700,5.731958200
58.967128900,5.732048100
58.966993900,5.732387000
58.966959200,5.732557600
58.966933700,5.732718000
58.966913200,5.732861100
58.966904000,5.732975700
58.966895600,5.733062200
