latitude,longitude
58.888136700,5.843858200
58.888014200,5.843636300
58.887765500,5.843185200
58.887510800,5.842724500
58.887380500,5.842491700
58.887112300,5.842024800
58.886829800,5.841567000
58.886681700,5.841345800
58.886371500,5.840917800
58.886210500,5.840709800
58.886046000,5.840504700
58.885709800,5.840100300
58.885368000,5.839698000
58.885025700,5.839294300
58.884853800,5.839094200
58.884508800,5.838695000
58.884335300,5.838495000
58.883985300,5.838089700
58.883810700,5.837884200
58.883469300,5.837476300
58.883156800,5.837082200
58.883015200,5.836886200
58.882882800,5.836690500
58.882642200,5.836297800
58.882533800,5.836110300
58.882433000,5.835937200
58.882182700,5.835497000
58.882117000,5.835369200
58.882014800,5.835162700
58.881978300,5.835078000
58.881916800,5.834948500
58.881879800,5.834886500
58.881874700,5.834877800
58.881873000,5.834873000
58.881871800,5.834870000
58.881870000,5.834866700
58.881868800,5.834865200
58.881866500,5.834862800
58.881859300,5.834848500
58.881818000,5.834798200
58.881751200,5.834712200
58.881717200,5.834663700
58.881641200,5.834518300
58.881591500,5.834429700
58.881494200,5.834246300
58.881439800,5.834141000
58.881303500,5.833896500
58.881147000,5.833615700
58.881066700,5.833474200
58.880897800,5.833176800
58.880807800,5.833017500
58.880616300,5.832677200
58.880515200,5.832496500
58.880302700,5.832116300
58.880086700,5.831729300
58.879976800,5.831533800
58.879748500,5.831131500
58.879630700,5.830923700
58.879390500,5.830500200
58.879148500,5.830072800
58.879028200,5.829855500
58.878788300,5.829404200
58.878665700,5.829171000
58.878415300,5.828686700
58.878162300,5.828192300
58.878034500,5.827943000
58.877777000,5.827438500
58.877648700,5.827183000
58.877389000,5.826671700
58.877257800,5.826414300
58.876999500,5.825886800
58.876865700,5.825626000
58.876596500,5.825104300
58.876461000,5.824845200
58.876194500,5.824327200
58.876194500,5.824327200
58.875807200,5.823557200
58.875553300,5.823052200
58.875166800,5.822292500
58.875034700,5.822036800
58.874767300,5.821515500
58.874767300,5.821515500
58.874502200,5.820966800
58.874131800,5.820063800
58.874015300,5.819744000
58.873787000,5.819089700
58.873675300,5.818763500
58.873456500,5.818130500
58.873246300,5.817537200
58.873147700,5.817254300
58.873057700,5.816976300
58.872909700,5.816426300
58.872803500,5.815871800
58.872766800,5.815591500
58.872724200,5.815035800
58.872713300,5.814761200
58.872701800,5.814201300
58.872691800,5.813627700
58.872684800,5.813337800
58.872671500,5.812754700
58.872671500,5.812754700
58.872623500,5.811878300
58.872591000,5.811590300
58.872481700,5.811035300
58.872324700,5.810510200
58.872234800,5.810260300
58.872050500,5.809769800
58.871961200,5.809524700
58.871787200,5.809034200
58.871787200,5.809034200
58.871534700,5.808315800
58.871341800,5.807895200
58.871233200,5.807711000
58.870995200,5.807387000
58.870868200,5.807242700
58.870610300,5.806961800
58.870482500,5.806817700
58.870233300,5.806505800
58.870000000,5.806148200
58.869890000,5.805953000
58.869784500,5.805749300
58.869584300,5.805325500
58.869395700,5.804885300
58.869302700,5.804664200
58.869114200,5.804227500
58.868915700,5.803811500
58.868812300,5.803612500
58.868706700,5.803419300
58.868489000,5.803053300
58.868263300,5.802711000
58.868030200,5.802391500
58.867912800,5.802238500
58.867675500,5.801952500
58.867556300,5.801819700
58.867320200,5.801578300
58.867094700,5.801367000
58.866987000,5.801266000
58.866776200,5.801069000
58.866567000,5.800874800
58.866463500,5.800777800
58.866258000,5.800577700
58.866160500,5.800476800
58.866066700,5.800375500
58.865975500,5.800273000
58.865714000,5.799948700
58.865543000,5.799721500
58.865460700,5.799602800
58.865300200,5.799358800
58.865147500,5.799107500
58.864999700,5.798851200
58.864927000,5.798721200
58.864787700,5.798466800
58.864664000,5.798243500
58.864664000,5.798243500
58.864527500,5.797976500
58.864494300,5.797894000
58.864432500,5.797744800
58.864375500,5.797633500
58.864353000,5.797597700
58.864335000,5.797572500
58.864335200,5.797573700
58.864334500,5.797576200
58.864334000,5.797577500
58.864333200,5.797579500
58.864332000,5.797581200
58.864331200,5.797581800
58.864329700,5.797583300
58.864328700,5.797583200
58.864313800,5.797565500
58.864266800,5.797509000
58.864233800,5.797471000
58.864160500,5.797380200
58.864065500,5.797235000
58.864014000,5.797154300
58.863903000,5.796990000
58.863838000,5.796898500
58.863690800,5.796695700
58.863538700,5.796489500
58.863463200,5.796386200
58.863313000,5.796171500
58.863238300,5.796058000
58.863086800,5.795825800
58.863008800,5.795710200
58.862850200,5.795479200
58.862688300,5.795249500
58.862606700,5.795135200
58.862440800,5.794910500
58.862273700,5.794690000
58.862190000,5.794582500
58.862025700,5.794368300
58.861865300,5.794148500
58.861786700,5.794036500
58.861627800,5.793814700
58.861547700,5.793705000
58.861389500,5.793482000
58.861311000,5.793371200
58.861154500,5.793147300
58.860991500,5.792914200
58.860905000,5.792793200
58.860720500,5.792547700
58.860621800,5.792426200
58.860412500,5.792196500
58.860304000,5.792094200
58.860079800,5.791920500
58.859962800,5.791849700
58.859728800,5.791728000
58.859488300,5.791615500
58.859363200,5.791557500
58.859105500,5.791434800
58.858974000,5.791372000
58.858705300,5.791240000
58.858567500,5.791169700
58.858296000,5.791010500
58.858035300,5.790819200
58.857910700,5.790706200
58.857672800,5.790445000
58.857560000,5.790295800
58.857346200,5.789968700
58.857146000,5.789608500
58.857049700,5.789418800
58.856862800,5.789020000
58.856774700,5.788808200
58.856607700,5.788364300
58.856447700,5.787907200
58.856367800,5.787673500
58.856208700,5.787198200
58.856128500,5.786957000
58.855965200,5.786469300
58.855881300,5.786224500
58.855712500,5.785732500
58.855629700,5.785486800
58.855467800,5.785006000
58.855311300,5.784543800
58.855311300,5.784543800
58.855089000,5.783890700
58.854952500,5.783476800
58.854889200,5.783271500
58.854776000,5.782856300
58.854727500,5.782642300
58.854618200,5.781956300
58.854592800,5.781713000
58.854550500,5.781208800
58.854550500,5.781208800
58.854530300,5.780951800
58.854530300,5.780951800
58.854457000,5.779881000
58.854397800,5.779070300
58.854397800,5.779070300
58.854304000,5.778273800
58.854221800,5.777746300
58.854174700,5.777486200
58.854070500,5.776971700
58.854070500,5.776971700
58.853898800,5.776225500
58.853781000,5.775745700
58.853781000,5.775745700
58.853607700,5.775040700
58.853495800,5.774575300
58.853441200,5.774345500
58.853388000,5.774120000
58.853241000,5.773482500
58.853199500,5.773288700
58.853132000,5.772932800
58.853088000,5.772614700
58.853079000,5.772471300
58.853098500,5.772206000
58.853128200,5.772084700
58.853229500,5.771890300
58.853292300,5.771815700
58.853424300,5.771693200
58.853484500,5.771645800
58.853581500,5.771565300
58.853642500,5.771496700
58.853657200,5.771477300
58.853667000,5.771461800
58.853667000,5.771461800
58.853669000,5.771459800
58.853670200,5.771460200
